Category,Sentiment,Aggregated_Tweets
ARDX,Negative,"$AMRC
-UBS downgrades Ameresco to Sell from Buy
Lowers price target to $8 from $37
-
$APLS
-JPMorgan raises Apellis Pharmaceuticals target to $54 from $50
Overweight
-
$ARDX
-BTIG initiates Ardelyx coverage at Buy
$14 target
-"
ARDX,Neutral,"$ARDX NEEDS VOLUME!! Sold my entire stake in $ARDX to buy more $SGMO. Asymmetric bet likely to outperform Ardelyx in the very short term. Today we announced our participation in three upcoming investor conferences: Leerink Partners 2025 Global Healthcare Conference, 
@Jefferies
 Biotech on the Beach Summit and 
@Barclays
 27th Annual Global Healthcare Conference. 
Learn more: https://bit.ly/3D3LoML $ARDX $ARDX $ARDX initiated with a Buy at BTIG. PT $14"
ARDX,Positive,"$ARDX @ TDC began w/ Ibsrela
>6M IBSC scripts/yr
- $240M-$250M FY 25 (->) $1B/yr
- 32% seq growth Q3-Q4 as sales team filled
Xphozah launched Nov '24 hyperphosphatemia
70% ESRD patients > range over any 6mo period
no near-term guidance, LT >$750M/yr
Europe, ROW upside for both $ARDX
Lennie_D from STs for the win: $ARDX - when a very smart and very wealthy insider buys stock EVERY TIME it gets to $5 maybe you should pay attention.  
BTW Chinese revs assuming Rx cost based on the average 2023 Chinese National Reimbursement Drug List (NRDL) negotiated pricing would equate to $80mm at 5% mkt BTIG $ARDX Buy-$14, say ""we highlight the recent pullback in $ARDX shares post-earnings as an attractive entry point, as Ibsrela and Xphozah continue to build momentum in large market opportunities ($1.75B peak sales potential, combined) both with no 2L competition, supporting $ARDX  part2  average valuation presents ""an attractive entry point"" as Ibsrela and Xphozah continue to build momentum in large market opportunities, where the firm sees $1.75B peak sales potential, combined, the analyst tells investors. $1B peak Ibsrela net sales guidance ""looks 2025-02-26 pre-market gainer:
$ARDX:ARDX receives $5M milestone payment after Tenapanor's approval in China, signaling potential market expansion and revenue growth in the pharmaceutical sector. $ARDX Lovely little $14 set by BTIG.
Have to put respect put on $ARDX's name now.
TD Cowen presentation was just fantastic. So true what they were saying : 
""We discovered, developed, got approved and commercialized 2 drugs. And we've $250mill in the bank.""
Onwards & upwards. $ARDX $BABA $WMT $U $LKNCY
Feel free to follow me for pre-market and after-hours movers every day.
PRE-MARKET MOVERS:
Currently Higher After Earnings:
-- SpringWorks Therapeutics (SWTX) up 10.2%
-- Shake Shack (SHAK) up 13.5%
-- Unity (U) up 7.6%
-- Hasbro (HAS) up 3.2%
-- C-SPAN carried the confirmation hearing for Dr Oz for Secretary of CMS, Medicare and Medicaid. He was awesome. Even spoke about how valuable CRSPR technology is and how if confirmed he will do away with the bs bundle pricing practice that fucked $ARDX!!! $ARDX TAKE A CLOSE LOOK. Judge Howell BLOCKED people on Medicare/Medicaid  (affected Blacks & Minorities disproportionately) from getting the best & Latest kidney care on her ruling For the US Gov’t CORRUPT  CMS.
It was a cost-neutral decision that STOPPED  CMS from paying for Happy Weekend to my fellow $VKTX, $ARDX, $ROOT & $BB longs.
One of my favourite squares here in Barcelona. A hidden one that tourists don't know about 
Monday brings March. March brings Spring.

Spring is the reward for hope during winter.

I've a good feeling about March $ARDX BTIG initiates Ardelyx with a Buy, sees attractive entry point after pullback

BTIG analyst Julian Harrison initiated coverage of Ardelyx with a Buy rating and $14 price target. The recent pullback in shares post-earnings presents ""an attractive entry point"" as Ibsrela and Jefferies reit'd $ARDX Buy/$11, says MGMT is confident it can navigate the various Xphozah dynamics going into '25/r optimistic underlying pt demand should grow—Jefferies also flags the CMS litigation isn't completely over, plus it is confident stock can rebound once in '25:  x.com/Quantumup1/sta… Big notable flow on $ARDX accumulated over the past few months. Great monthly/quarterly look. $ARDX Jan 2026 $15 calls @.15 $ARDX - I can't wait to see how many shares David Mott has bought since Earnings and Wan Ti Le Approval $ARDX Ardelyx reports Q4 EPS 2c, consensus 0c

Reports Q4 revenue $116.13M, consensus $111.16M. ""Ardelyx enters 2025 in a position of strength, evidenced by significant year-over-year revenue growth for IBSRELA in 2024 and a strong first full year of XPHOZAH commercialization, Earnings summary $ARDX (2025-02-20):
Ardelyx's Q4 and FY2024 earnings call highlighted strong performance for IBSRELA and XPHOZAH.  IBSRELA saw 32% QoQ growth, fueled by sales team expansion.  XPHOZAH, despite CMS reimbursement changes, maintained patient access via a patient"
DKNG,Negative,"$DKNG - well at least the holders who did not take advantage of the rally can find solace in that the stock is still above where 
@GazipuraMo
 dumped at. If you sold #DKNG today, just be aware that my team and I are on a mission to make you regret that decision more than any other decision you’ve ever made in your life $DKNG 
I blocked a lot of people today.  It’s not personal.
I just come here to talk DKNG and consume DKNG news/information.

Have seen some strange arguments and personal attacks and shit.  Distracts me from why I’m on the board.

Been a crazy month I don’t see this trend stopping anytime soon $DKNG $DKNG 6mos. Heading into March Madness, hanging at the 6 month low. Just cleared through that massive vol shelf. Below all ma's. Watchlisted. Another reason to be bullish on $DKNG. 

1) Inflecting profitable in 2025 
2) Competition fading (market share war over) 

Another growth vector? Half (maybe more) of US betting still taking place w/ illegal offshore operators $DKNG 

For reference - we are still crushing every index YTD. $DKNG Get this to $28 so I can load and forget for 5 years. 

Then look one day at $150"
DKNG,Neutral,"$DKNG Hey 
@Kalshi
  there’s a new sheriff in town. ‘DraftKings Predict’ registered with National Futures Association   
 https://next.io/news/betting/draftkings-predict-registered-national-futures-association/…
$DKNG Benchmark maintains #DraftKings  $DKNG at Buy and raises the price target from $44 to My portfolio Stock predictions EOY
$SMCI. $85
$HOOD. $70
$TSLA. $400
$MU. $130
$DKNG. $65 Tomorrow's list 
$TSLA 
$TSM 
$AMD 
$CRWD 
$ALAB 
$MDB 
$NET 
$SNOW 
$AXON Who else is down 40% in the past two months? 
$DKNG $SG $AMZN $TSLA $HOOD $SHOP Trimmed/rolled some of our puts and added to calls on $dkng $czr $hood $DKNG sell-off seems overdone here"
DKNG,Positive,"$HIMS has a huge short float. 
When it bounces it’ll be huge. I’ve been waiting for $28 to get back in for a trade. 
Pay close attention to volume in order to time the bounce. 
$SOFI $TSLA $HOOD $DKNG $SPY #Meridianbet New analyst targets range from $3.03 to $4.20 a share. Avg is an increase of 75.86%. Insiders buys over $23 million since acquisition. 
@StudiosExpanse
 + 700% YOY. $EVO #1 Lg-Cap $GMGI #1 Sm-Cap.
$DKNG $PENN $FLUT $BRAG $MGM $CZR $RSI $GAMB Q42024, even with a weak NFL season for books,  #fanduel achieved profitability from its day to day operation, not the case for $DKNG. 
@fanduel
 Net revenue was $218 million higher then #DraftKings 2025 guidance represents 33% increase in NR and 176% EBITA. 
@stevebrubaker $DKNG started a new position today, chart looks pretty good, and just a month ago the company increased guidance. Recent comments from conference were very bullish. I expect this to rebound very quickly with market recovery. Five of the ten most popular sports betting sites across the US are offshore operators, per a Blask/Next Io study; the combined offshore US market is roughly twice the size of the legal market, the research found Lil Global Defense play #Meridianbet 39 yrs investing & this is most positive I have been for an off-radar SmCap. 28 yrs growth w/zero borrowed $. My next 1-10x. Adoptive AI tech, watch 4 earnings
https://youtube.com/watch?v=9THBUgRJN54…
DKNG,Guess how I’m feeling…  I like $dkng
I look for continued growth in sports betting markets 
I also expect relaxed regulations over time
feels like a good one  nfa $DKNG 
 CEO Robins: ""We are ahead of growth targets""
Butler Portfolio 3/10/25
Top positions: $MELI $NVDA $TSLA $NU $SOFI $DLO $AMZN $TMDX $AMD $SNOW $DKNG $CRWD $META $UBER $COIN $DDOG $ASPN $CELH $PLTR $OUST
Performance YTD: -14.79% Happy belated anniversary to my favorite gambling tweet of all-time.  My only regret is that 
@Vanguard_Group
 doesn’t offer an All-World, ex- $DKNG index fund. Best discord group over 180 k members and even have their own app join here 
https://discord.gg/edVmEm7tVH
$FB $BABA $BIDU $BA $TWTR $PINS $TLRY $HEXO $ACB $FDX $DKNG $DKNG
Call 45.0
3/20/2026
Premium: $467.0K 
Abu Laith AiBotPost
متأخرة - للمباشر إنضم إلى قناة التيليجرام 
Delayed - for live feed join our telegram Stock Market Feeling Heavy Today, Trying to Absorb Tariffs, Ukraine, etc. 
$NVDA $MRVL $AVGO $CORZ $NFLX $PLTR $TSLA $SMCI $SOFI $HOOD $RIOT $AMZN $MSTR $AMD $GRAB $RIVN $RKLB $SBUX $HIMS $PTON $SNOW $ETSY $RDDT $DKNG $SPOT $ABNB Start trading 6 months ago and made 5 k to $49 k Big thanks to this community
https://discord.gg/edVmEm7tVH
$BYND $USEG $SHOP $DKNG $MU $NOVS $MYOV $APDN $MXC $BZUN $SPY $DKNG CEO Robins at Morgan Stanley conference: ""We are ahead of growth targets"" $DKNG CEO 
@JasonDRobins
 at MS conf:
- Customer acquisition ""not letting up""
- Improving margins thru parlay adoption
- Competitors fading (see $PENN call. ESPN Bet likely done next year)
- Live betting = huge opp (half of volume now)
Meaningful discount to FV, per Morningstar. How long until $DKNG offers 0dte $SPY trading on their app? 

Lol"
ELF,Negative,"NJ is ruined  NJ appears now exactly like Ireland ran by the mid east kings 
$QQQ $DOW $IWM $SPY $SPX $VIX $BTC $MSFT $META $PLTR $TSLA $SOFI $BTC $HIMS $FUBO $MPW $ELF $NVDA $TSLA $MDB $AAPL $GME $AMC $MSTR $INTC $MRVL $ESTC $NU $INND $BNRG $ULTA $PLUG Stocks that are the biggest steal deals in this market:
$NVDA
$ELF
$PYPL
$HIMS
$OSCR
$SOFI
$NU Stocks I’m adding aggressively this month:
$HIMS $AMD $CELH $ELF No no NOOOO the cougars should NOT be anywhere near your wheelhouse they should be in your doghouse!!!! Just chat them up convince them to wear more $ELF !! Tell them that their pulled skin needs even more makeup coverage to cover the saggy. Go after the Lynx young man aim high!!"
ELF,Neutral,"$GOOG & $ELF what are we doing down here? I put $ELF cosmetics in my wife’s $EL bottles.
She NEVER knew the difference.
I really skunked her.  
– Jim Cramer, Squawk on the Street $CRSH, $O, $MSTZ, $TMF, $UVXY, $ELF, $SOXS $ELF | 𝐞.𝐥.𝐟. 𝐁𝐞𝐚𝐮𝐭𝐲 (ELF): Piper Sandler 𝐫𝐞𝐢𝐭𝐞𝐫𝐚𝐭𝐞𝐬 𝐎𝐯𝐞𝐫𝐰𝐞𝐢𝐠𝐡𝐭, maintains 𝐏𝐓 𝐚𝐭 $𝟏𝟎𝟐. 
Despite 𝐬𝐚𝐥𝐞𝐬 𝐝𝐞𝐜𝐞𝐥𝐞𝐫𝐚𝐭𝐢𝐨𝐧, analysts see 𝐮𝐧𝐭𝐫𝐚𝐜𝐤𝐞𝐝 𝐜𝐡𝐚𝐧𝐧𝐞𝐥𝐬 𝐚𝐬 𝐚 𝐠𝐫𝐨𝐰𝐭𝐡 𝐨𝐟𝐟𝐬𝐞𝐭. $RDFN
$ELF
$DFH
$KNSL $ELF up 8% today so far. You buy $ELF The RUSSEL and 20 billion and under market cap stocks in general are set to outperform all the other indexes over the next year or two imo.
$SOFI $ELF $CELH $HIMS $ELF has been on a roller coaster the past month. 
Anyone eyeing it or thinking about buying? I'm personally DCA'ing into it. Did some $ELF DD this evening …
“If we get a recession… every girl is buying ELF” - blonde  
NFA $AAPL $BA $COIN $DAL $DIS $DDOG $ELF $F $GM $INTC  $IONQ $META $NNE $NVDA $PYPL $ROKU $SMCI $TSLA $XYZ $AMD will be a $500+ dollar stock
$SOFI will be a $40+ dollar stock
$CELH will be a $75+ dollar stock
$ELF will be a $175+ dollar stock
$PYPL will be a $150+ dollar stock DCA Friday: BUY
I’ve added to several positions throughout this week
$TSLA | $NVO | $HIMS | $OSCR | $ELF Can’t wait for all my stocks ER’s
$AMD $HIMS $ELF $CELH $SOFI $PYPL $ELF | 𝐞.𝐥.𝐟. 𝐁𝐞𝐚𝐮𝐭𝐲 (ELF): DA Davidson 𝐫𝐞𝐢𝐭𝐞𝐫𝐚𝐭𝐞𝐬 𝐍𝐞𝐮𝐭𝐫𝐚𝐥, maintains 𝐏𝐓 𝐚𝐭 $𝟖𝟎. 
Analysts flag 𝐰𝐞𝐚𝐤 𝐏𝐎𝐒 𝐭𝐫𝐞𝐧𝐝𝐬, potential 𝐅𝐘𝟐𝟔 𝐠𝐮𝐢𝐝𝐚𝐧𝐜𝐞 𝐫𝐢𝐬𝐤. My dip buying today included:
$AMD
$ELF
$EL
$CAKE
$MARA
$RKT
Small buys, I still have a lot of cash to buy more dips. $ELF: 2-2D cont to take the 3-2W hammer up, now sitting at the D gap above here.
 #theSTRAT $ELF Earnings from 5 weeks ago  $PLTR $AMD $AMZN $GOOGL $PYPL $UBER $F $SNAP $QCOM $SPOT $DIS $ARM $LLY $CMG $SYM $KD $PFE $ENPH $RBLX $ELF $REGN $NET $NVO $AFRM $AMSC $PEP $PTON $FTNT $COP $VKTX $RBB $CLX $DOC $SAIA $ORLY $RACE $NXPI $TSN $MCHP $AMGN $MRK $HSY $EL $PINS $EA $VCTR Just a bit of dip buys today:
$HIMS
$AMD
$SOFI
$ELF
$TSLA
$NKE
$TSM almost 5 bags now $ELF 67C Western Countries are Welfare States  
$QQQ $DOW $IWM $SPY $SPX $VIX $BTC $MSFT $META $PLTR $TSLA $SOFI $BTC $HIMS $FUBO $MPW $ELF $NVDA $TSLA $MDB $AAPL $GME $AMC $MSTR $INTC $MRVL $ESTC $NU $INND $BNRG $ULTA $VIX $SQQQ Ep. 448 - Nobody Sees THIS Coming…
 TODAY'S HOT STOCKS — $IBM $DASH $RDDT $LLY $ELF $MCD $POWL $WSM $HOOD $TKO $WOLF $CELH $DWTX $CLSK $ICON $SPY $QQQ $VIX $TSLA $NVDA $COIN $DXCM $BTOG $VZ $AAPL $SUNE $TXRH $MPW $EAT $STSS $ELF: buy more @$70 Big up day for $ELF
Do you think it is the buybacks? $ELF has surged 8.63% to $76.78 #Monday Check it out on Yahoo Finance https://finance.yahoo.com/quote/ELF?p=ELF

$GOVX $INDP 

ELF,Stocks I bought this week:   $ELF is up over 9% today $ELF +6% …"
ELF,Positive,"Yeah $TAO is solid but personally, I kinda prefer $ELF and $DEAI $ELF #ELF
I would honestly want this to 
absolutely make Mag 7 
look like a joke. 
If they announce manufacturing in the US this shit will probably pop $ELF is a solid play. Long history, real innovation. Smart move $ELF added 100 more shares at $66.365 so now up to HOLDING 700 shares at $75.82 avg. I am not crazy here I am adding, and will likely add more but as always you do you boo. Ulta higher after EPS beat by $1.33, revs in-line 
Big contrast to other beauty companies Coty $COTY, Elf Beauty $ELF, L'Oreal, which reported softer growth in U.S. mass beauty market.
But guides FY26 EPS below consensus, revs below consensus
$ULTA 334.00 +19.53 +(6.21%) AH $ELF acts like it wants to go lower. Lesson: $ELF $ANF 
Fundamentals look best at the top! Technicals lead fundamentals in growth stocks and the negative surprises and deceleration in EPS and Revenues often don't come until they are off 30-50%+ off highs. The $IWM (Russell 2000) is now just 4% away from being in a CRASH. What are your favorite small cap plays right now when buying the dip? Mine are $FUBO and $ELF (slightly in the mid-cap territory). $ELF lmao up 5% yesterday down 5% today. YouTube member request: $ELF
I feel like it's almost done with its ABC correction, although the C could end up being at the Ichimoku cloud which means it could go down to the mid to low 50's, and may not be a V-shape recovery and could take some time to recover.
With that said, If the base cases for my stocks play out then my portfolio will be up over 100% in 2 years.
$SOFI $ELF $PYPL $HIMS $AMD $CELH $ELF finally showing some love in a red day like today So $ELF is in play here?? Looks bottom ish to me … Be safe this weekend. 
$QQQ $DOW $IWM $SPY $SPX $VIX $BTC $MSFT $META $PLTR $TSLA $SOFI $BTC $HIMS $FUBO $MPW $ELF $NVDA $TSLA $MDB $AAPL $GME $AMC $MSTR $INTC $MRVL $ESTC $NU $INND $BNRG $ULTA $VIX I had a nice win today with $ENPH and $ELF.  How was your day fam? $ELF beauty
Needs to bounce soon. Still has a ways to go to reach the long-term trendline extension. new highs $ELF ALMOST 3 BAGS  on the 67c  now up 7.19%.
$elf sympathy play paying better then buying $ulta direct Good deals yes $HIMS $ELF $CELH $TMDX Loving this market man.
Never thought I’d be able to buy this many companies I love at these valuations.
Normally wouldn’t be buying as many new positions as I have but jeez.
3 new positions in the past 4 months!
$ELF $CELH $HIMS I have it on good authority from girls that $ELF is a buy here. lol Aelf ( $ELF )  
 What is #Aelf?  
Aelf (ELF) describes itself as an operating system for the blockchain. Just like Android for smartphones or Linux for computers, Aelf aims to become the go-to operating system for blockchain technology. Current operating systems do not Stocks I’m looking to Sell Options on next week (March 10-14):
Cash Secured Puts:
$NVDA below $108
$ELF below $65
$TMDX below $60
$ENPH below $61
$XYZ below $52
$HOOD below $40 America  is falling like Europe already has. Texas appears to be now ran by Pakistan  
$QQQ $DOW $IWM $SPY $SPX $VIX $BTC $MSFT $META $PLTR $TSLA $SOFI $BTC $HIMS $FUBO $MPW $ELF $NVDA $TSLA $MDB $AAPL $GME $AMC $MSTR $INTC $MRVL $ESTC $NU $INND $BNRG $ULTA So $ELF is in play here?? Looks bottom ish to me …  x.com/investor_nick_… $ELF added 300 shares more at $66.31 avg so now holding 600 shares at $77.40. Will continue to add up to 1000 shares on continued weakness. Really think this pummelling is unwarranted but hey that's just me. Let's see wot happens. x.com/mellowrk_lion/… trade idea
$ELF 80c
looks like sellers starting to slowly take profits giving this room to the upside with great r/r
any close over 67, i feel comfortable assuming the risk and longing this. $ELF is looking very interesting at these levels When the bottom happens in the market over the next 1-2 months likely my stocks will rally huge.
$HIMS-$50
$SOFI-$16
$PYPL-$77
$CELH-$30
$AMD-$110
$ELF-$75 I’ve talked about $ELF as one of the OG AI projects on Binance plenty of times, and today is the perfect time to dive into their latest product.
Seeing the potential of AI, $ELF has evolved into a full ecosystem and launched http://aevatar.ai - an AI framework designed to Eat Laugh Fart $ELF is not serious My daughter starts her investment career today with
1 share $ELF
1 share $ULTA
10 shares $ECC
$286.89 in cash
$794.51 in total. Will be interesting to see how well a 13 year old does with this. A win for the beauty industry! Double beat $ULTA 
$ELF $EL WOO HOO $ELF  sympathy play for $ulta earnings working up 250% on the  67c $ELF having 2 pretty big up days in a row is interesting.
Something is happening in that stock! Great choices, chief! 
Also here are my top 4: 
$ELF 
$MNT
$ARC
$TON My Top 7 stocks for Options Trading as of right now:
$NVDA / $NVDL
$TMDX
$ELF
$ENPH
$HIMS
$CELH
$SOFI Imma also choose $MNT, $DEAI, $ELF, $TON, $AVAX, $NEAR, $SOL, $NGU, $NPC and $Cocoro haha Let's see what finished in the top 10 of our HOT watchlist today:
$RDFN, $CCLD, $RVLV, $REGN, $NEE, $SNDK, $GO, $ELF, $APGE Top Stock Gainers And Losers Today by yahoo finance:

Top Gainers
$GAP Gap: +18.84%
$AKRBF Aker BP ASA: +12.46%
$LB LandBridge  LLC: +10.10%
$RGTI Rigetti Computing: +9.87%
$ELF e l f  Beauty: +9.72%

Top Losers 2) Consumer discretionary with a low cost advantage, I don’t believe we’re heading into a recession, but the consumer is definitely getting squeezed and becoming more price-conscious. In this environment, lower-cost companies should gain market share.

$CVNA, $ROOT, $ELF, $FTAI, Aelf ( $ELF ) - #Explainer

 What is #Aelf?  

Aelf (ELF) describes itself as an operating system for the blockchain. Just like Android for smartphones or Linux for computers, Aelf aims to become the go-to operating system for blockchain technology. Current operating systems $ELF weekly looks good for a pure technical bounce.

-Holding 786 fib at 63.58, potential double bottom to retest levels above 97 - 105
-If this area holds it looks like a good spot for some shares with a stop below last weeks low Final Sum

$ELF, $AMD, $CELH, $CAKE: four stocks with huge potential in 2025 and beyond.

Spec bonus: $HNST & $FUBO for those who want some high-upside lottery tickets.

GVD-123 approach keeps risk balanced while capturing massive upside. America  is falling like Europe already has 

$QQQ $DOW $IWM $SPY $SPX $VIX $BTC $MSFT $META $PLTR $TSLA $SOFI $BTC $HIMS $FUBO $MPW $ELF $NVDA $TSLA $MDB $AAPL $GME $AMC $MSTR $INTC $MRVL $ESTC $NU $INND $BNRG $ULTA"
HIMS,Negative,"lol. $HIMS is a fraud. “ I owned $HIMS $PLTR $APP and $GRRR ” “I’m down 50% in a month”….Twitter wut do u think, should I sell now????!!!!!! Get fuqed soy shit….sad and pathetic $HIMS is showing first sign of a bottom
Drop a comment if you want me to do a video on it tonight Those who missed out want $HIMS to drop to $30. $HIMS down >47% in the last month and negative points continue to come down the pipe
More to come. We press. Practical Technical Analysis in Under 10 Minutes: $HIMS

Third video update: We're holding at $36, a key level. A breakdown could drop us to $30 or $25. Alternatively, we might see a wedge pop, confirming a bottom."
